Source,Target,airline,country,airline_name
KKB,SYB,2O,Sierra Leone,Air Salone
KLN,KYK,2O,Sierra Leone,Air Salone
KOZ,ORI,2O,Sierra Leone,Air Salone
SYB,KPR,2O,Sierra Leone,Air Salone
BSO,MNL,2P,Philippines,Air Philippines
BXU,MNL,2P,Philippines,Air Philippines
CBO,MNL,2P,Philippines,Air Philippines
CGY,MNL,2P,Philippines,Air Philippines
CRM,MNL,2P,Philippines,Air Philippines
DGT,MNL,2P,Philippines,Air Philippines
DWC,MNL,2P,Philippines,Air Philippines
GES,MNL,2P,Philippines,Air Philippines
KLO,MNL,2P,Philippines,Air Philippines
KLO,MNL,2P,Philippines,Air Philippines
LGP,MNL,2P,Philippines,Air Philippines
MNL,BSO,2P,Philippines,Air Philippines
MNL,BXU,2P,Philippines,Air Philippines
MNL,CBO,2P,Philippines,Air Philippines
MNL,CGY,2P,Philippines,Air Philippines
MNL,CRM,2P,Philippines,Air Philippines
MNL,DGT,2P,Philippines,Air Philippines
MNL,DWC,2P,Philippines,Air Philippines
MNL,GES,2P,Philippines,Air Philippines
MNL,KLO,2P,Philippines,Air Philippines
MNL,KLO,2P,Philippines,Air Philippines
MNL,LGP,2P,Philippines,Air Philippines
MNL,MPH,2P,Philippines,Air Philippines
MNL,OZC,2P,Philippines,Air Philippines
MNL,PPS,2P,Philippines,Air Philippines
MNL,RXS,2P,Philippines,Air Philippines
MNL,SUG,2P,Philippines,Air Philippines
MNL,TUG,2P,Philippines,Air Philippines
MNL,ZAM,2P,Philippines,Air Philippines
MPH,MNL,2P,Philippines,Air Philippines
OZC,MNL,2P,Philippines,Air Philippines
PPS,MNL,2P,Philippines,Air Philippines
RXS,MNL,2P,Philippines,Air Philippines
SUG,MNL,2P,Philippines,Air Philippines
TUG,MNL,2P,Philippines,Air Philippines
ZAM,MNL,2P,Philippines,Air Philippines
AUX,PMW,2Z,China,Changan Airlines
BRA,BSB,2Z,China,Changan Airlines
BRA,SSA,2Z,China,Changan Airlines
BSB,BRA,2Z,China,Changan Airlines
BSB,OPS,2Z,China,Changan Airlines
BSB,RAO,2Z,China,Changan Airlines
CAC,GRU,2Z,China,Changan Airlines
CGB,GYN,2Z,China,Changan Airlines
CGB,OPS,2Z,China,Changan Airlines
CGR,DOU,2Z,China,Changan Airlines
DOU,CGR,2Z,China,Changan Airlines
DOU,GRU,2Z,China,Changan Airlines
GIG,RAO,2Z,China,Changan Airlines
GRU,CAC,2Z,China,Changan Airlines
GRU,DOU,2Z,China,Changan Airlines
GRU,RAO,2Z,China,Changan Airlines
GRU,UBA,2Z,China,Changan Airlines
GRU,UDI,2Z,China,Changan Airlines
GRU,VDC,2Z,China,Changan Airlines
GYN,CGB,2Z,China,Changan Airlines
GYN,PMW,2Z,China,Changan Airlines
GYN,RAO,2Z,China,Changan Airlines
GYN,UDI,2Z,China,Changan Airlines
OPS,BSB,2Z,China,Changan Airlines
OPS,CGB,2Z,China,Changan Airlines
PLU,RAO,2Z,China,Changan Airlines
PMW,AUX,2Z,China,Changan Airlines
PMW,GYN,2Z,China,Changan Airlines
RAO,BSB,2Z,China,Changan Airlines
RAO,GIG,2Z,China,Changan Airlines
RAO,GRU,2Z,China,Changan Airlines
RAO,GYN,2Z,China,Changan Airlines
RAO,PLU,2Z,China,Changan Airlines
RAO,SJP,2Z,China,Changan Airlines
RAO,UDI,2Z,China,Changan Airlines
SJP,RAO,2Z,China,Changan Airlines
SSA,BRA,2Z,China,Changan Airlines
SSA,VDC,2Z,China,Changan Airlines
UBA,GRU,2Z,China,Changan Airlines
UBA,UDI,2Z,China,Changan Airlines
