id,latitude,longitude,X1,ID,airportID,airport,Label,country,IATA,ICAO,latitude.y,longitude.y,altitude,timezone,DST,TZ,type,source
BIX,30.4113,-88.9236,442,BIX,3538,Keesler Air Force Base,Biloxi,United States,BIX,KBIX,30.4104003906,-88.92440032959999,33,-6,A,America/Chicago,airport,OurAirports
BIY,-32.895,27.2850,443,BIY,793,Bisho Airport,Bisho,South Africa,BIY,FABE,-32.8970985413,27.279100418099997,1950,2,U,Africa/Johannesburg,airport,OurAirports
BJA,36.7119,5.0694,444,BJA,209,Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.7120018005,5.0699200630200005,20,1,N,Africa/Algiers,airport,OurAirports
BJB,37.4892,57.3064,445,BJB,5930,Bojnord Airport,Bojnourd,Iran,BJB,OIMN,37.49300003051758,57.30820083618164,3499,3.5,E,Asia/Tehran,airport,OurAirports
BJC,39.9083,-105.1167,446,BJC,7822,Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,BJC,KBJC,39.90879822,-105.1169968,5673,-7,A,America/Denver,airport,OurAirports
BJF,70.6003,29.6925,447,BJF,637,Båtsfjord Airport,Batsfjord,Norway,BJF,ENBS,70.60050201416,29.691400527954,490,1,E,Europe/Oslo,airport,OurAirports
BJI,47.5094,-94.9337,448,BJI,4287,Bemidji Regional Airport,Bemidji,United States,BJI,KBJI,47.50939941,-94.93370056,1391,-6,A,America/Chicago,airport,OurAirports
BJL,13.3425,-16.6578,449,BJL,1050,Banjul International Airport,Banjul,Gambia,BJL,GBYD,13.338000297546387,-16.65220069885254,95,0,N,Africa/Banjul,airport,OurAirports
BJM,-3.3178,29.3172,450,BJM,1120,Bujumbura International Airport,Bujumbura,Burundi,BJM,HBBA,-3.3240199089050293,29.318500518798828,2582,2,U,Africa/Bujumbura,airport,OurAirports
BJR,11.6063,37.3197,451,BJR,1111,Bahir Dar Airport,Bahar Dar,Ethiopia,BJR,HABD,11.608099937438965,37.32160186767578,5978,3,U,Africa/Addis_Ababa,airport,OurAirports
BJT,6.4833,79.9833,452,BJT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BJV,37.2472,27.6814,453,BJV,4315,Milas Bodrum International Airport,Bodrum,Turkey,BJV,LTFE,37.25059890749999,27.6643009186,21,3,E,Europe/Istanbul,airport,OurAirports
BJX,20.9933,-101.4810,454,BJX,1815,Del Bajío International Airport,Del Bajio,Mexico,BJX,MMLO,20.9935,-101.481003,5956,-6,S,America/Mexico_City,airport,OurAirports
BJY,44.9236,20.2790,455,BJY,11894,Batajnica Air Base,Batajnica,Serbia,BJY,LYBT,44.935299,20.2575,265,NA,\N,\N,airport,OurAirports
BJZ,38.8912,-6.8213,456,BJZ,1219,Badajoz Airport,Badajoz,Spain,BJZ,LEBZ,38.891300201416016,-6.8213300704956055,609,1,E,Europe/Madrid,airport,OurAirports
BKA,55.6172,38.0600,457,BKA,4360,Bykovo Airport,Moscow,Russia,BKA,UUBB,55.6171989441,38.0600013733,427,3,N,Europe/Moscow,airport,OurAirports
BKC,65.9816,-161.1491,458,BKC,7178,Buckland Airport,Buckland,United States,BKC,PABL,65.9815979004,-161.149002075,31,-9,A,America/Anchorage,airport,OurAirports
BKE,44.8373,-117.8091,459,BKE,11819,Baker City Municipal Airport,Baker City,United States,BKE,KBKE,44.837299346900004,-117.808998108,3373,NA,\N,\N,airport,OurAirports
BKF,39.7017,-104.7517,460,BKF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKG,36.5321,-93.2005,461,BKG,6962,Branson Airport,Branson,United States,BKG,KBBG,36.532082,-93.200544,1302,-6,A,America/Chicago,airport,OurAirports
BKI,5.9447,116.0531,462,BKI,3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.9372100830078125,116.0510025024414,10,8,N,Asia/Kuala_Lumpur,airport,OurAirports
BKK,13.6811,100.7473,463,BKK,3885,Suvarnabhumi Airport,Bangkok,Thailand,BKK,VTBS,13.681099891662598,100.74700164794922,5,7,U,Asia/Bangkok,airport,OurAirports
BKL,41.525,-81.6833,464,BKL,8544,Burke Lakefront Airport,Cleveland,United States,BKL,KBKL,41.51750183105469,-81.68329620361328,583,-5,A,America/New_York,airport,OurAirports
BKM,3.974,115.6180,465,BKM,6218,Bakalalan Airport,Bakalalan,Malaysia,BKM,WBGQ,3.9739999771118164,115.61799621582031,2900,8,N,Asia/Kuala_Lumpur,airport,OurAirports
BKO,12.5379,-7.9433,466,BKO,1044,Modibo Keita International Airport,Bamako,Mali,BKO,GABS,12.5335,-7.94994,1247,0,N,Africa/Bamako,airport,OurAirports
BKQ,-24.4267,145.4233,467,BKQ,4217,Blackall Airport,Blackall,Australia,BKQ,YBCK,-24.427799224900003,145.429000854,928,10,O,Australia/Brisbane,airport,OurAirports
BKS,-3.8611,102.3394,468,BKS,3288,Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS,WIPL,-3.8637,102.338997,50,7,N,Asia/Jakarta,airport,OurAirports
BKW,37.7867,-81.1244,469,BKW,5724,Raleigh County Memorial Airport,Beckley,United States,BKW,KBKW,37.787300109899995,-81.1241989136,2504,-5,A,America/New_York,airport,OurAirports
BKY,-2.309,28.8088,470,BKY,1035,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY,FZMA,-2.3089799880981445,28.808799743652344,5643,2,U,Africa/Lubumbashi,airport,OurAirports
BKZ,-1.3,31.8000,471,BKZ,5703,Bukoba Airport,Bukoba,Tanzania,BKZ,HTBU,-1.332,31.8212,3784,3,U,Africa/Dar_es_Salaam,airport,OurAirports
BLA,10.1167,-64.6833,472,BLA,2821,General José Antonio Anzoategui International Airport,Barcelona,Venezuela,BLA,SVBC,10.111111,-64.692222,30,-4,U,America/Caracas,airport,OurAirports
BLB,8.9148,-79.5996,473,BLB,1868,Panama Pacific International Airport,Howard,Panama,BLB,MPHO,8.91479,-79.599602,52,-5,U,America/Panama,airport,OurAirports
BLD,35.9475,-114.8611,474,BLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLE,60.4222,15.5150,475,BLE,739,Borlange Airport,Borlange,Sweden,BLE,ESSD,60.422000885009766,15.515199661254883,503,1,E,Europe/Stockholm,airport,OurAirports
BLF,37.2958,-81.2077,476,BLF,6128,Mercer County Airport,Bluefield,United States,BLF,KBLF,37.295799255371094,-81.20770263671875,2857,-5,A,America/New_York,airport,OurAirports
BLH,33.6192,-114.7168,477,BLH,4136,Blythe Airport,Blythe,United States,BLH,KBLH,33.6192016602,-114.717002869,399,-8,A,America/Los_Angeles,airport,OurAirports
BLI,48.7927,-122.5375,478,BLI,3777,Bellingham International Airport,Bellingham,United States,BLI,KBLI,48.79280090332031,-122.53800201416016,170,-8,A,America/Los_Angeles,airport,OurAirports
BLJ,35.7592,6.3225,479,BLJ,5552,Batna Airport,Batna,Algeria,BLJ,DABT,35.752101898199996,6.308589935300001,2697,1,N,Africa/Algiers,airport,OurAirports
BLK,53.7716,-3.0286,480,BLK,514,Blackpool International Airport,Blackpool,United Kingdom,BLK,EGNH,53.77170181274414,-3.0286099910736084,34,0,E,Europe/London,airport,OurAirports
BLL,55.7403,9.1518,481,BLL,608,Billund Airport,Billund,Denmark,BLL,EKBI,55.7402992249,9.15178012848,247,1,E,Europe/Copenhagen,airport,OurAirports
BLQ,44.5306,11.2969,482,BLQ,1538,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,LIPE,44.5354,11.2887,123,1,E,Europe/Rome,airport,OurAirports
BLR,12.9522,77.6646,483,BLR,3131,Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000,5.5,N,Asia/Calcutta,airport,OurAirports
BLT,-23.6,148.8167,484,BLT,6250,Blackwater Airport,Blackwater,Australia,BLT,YBTR,-23.603099822998047,148.8070068359375,657,10,O,Australia/Brisbane,airport,OurAirports
BLV,38.5452,-89.8352,485,BLV,3790,Scott AFB/Midamerica Airport,Belleville,United States,BLV,KBLV,38.5452,-89.835197,459,-6,A,America/Chicago,airport,OurAirports
BLZ,-15.6798,34.9676,486,BLZ,1013,Chileka International Airport,Blantyre,Malawi,BLZ,FWCL,-15.679100036621094,34.9739990234375,2555,2,U,Africa/Blantyre,airport,OurAirports
BMA,59.3544,17.9422,487,BMA,738,Stockholm-Bromma Airport,Stockholm,Sweden,BMA,ESSB,59.354400634765625,17.941699981689453,47,1,E,Europe/Stockholm,airport,OurAirports
BMC,41.5524,-112.0622,488,BMC,6999,Brigham City Regional Airport,Brigham City,United States,BMC,KBMC,41.552399,-112.061996,4229,-7,A,America/Denver,airport,OurAirports
BMD,-19.6867,44.5419,489,BMD,5617,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Madagascar,BMD,FMML,-19.6867008209,44.541900634799994,154,3,U,Indian/Antananarivo,airport,OurAirports
BME,-17.95,122.2317,490,BME,4319,Broome International Airport,Broome,Australia,BME,YBRM,-17.944700241088867,122.23200225830078,56,8,O,Australia/Perth,airport,OurAirports
BMI,40.4767,-88.9167,491,BMI,4037,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,BMI,KBMI,40.47710037,-88.91590118,871,-6,A,America/Chicago,airport,OurAirports
BMK,53.5955,6.7092,492,BMK,406,Borkum Airport,Borkum,Germany,BMK,EDWR,53.59639,6.709167,3,1,E,Europe/Berlin,airport,OurAirports
BMO,24.269,97.2462,493,BMO,6196,Banmaw Airport,Banmaw,Burma,BMO,VYBM,24.268999099731445,97.24620056152344,370,6.5,U,Asia/Rangoon,airport,OurAirports
BMU,-8.5408,118.6906,494,BMU,3924,Muhammad Salahuddin Airport,Bima,Indonesia,BMU,WADB,-8.5396499633789,118.68699645996,3,8,N,Asia/Makassar,airport,OurAirports
BMV,12.6661,108.1145,495,BMV,6187,Buon Ma Thuot Airport,Buonmethuot,Vietnam,BMV,VVBM,12.668299675,108.120002747,1729,7,U,Asia/Saigon,airport,OurAirports
BMW,21.375,0.9239,496,BMW,5554,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM,21.375,0.923888981342,1303,1,N,Africa/Algiers,airport,OurAirports
BMY,-19.7206,163.6611,497,BMY,5920,Île Art - Waala Airport,Waala,New Caledonia,BMY,NWWC,-19.720600128173828,163.66099548339844,306,11,U,Pacific/Noumea,airport,OurAirports
BNA,36.1245,-86.6782,498,BNA,3690,Nashville International Airport,Nashville,United States,BNA,KBNA,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago,airport,OurAirports
BNB,-0.286,20.8840,499,BNB,11230,Boende Airport,Boende,Congo (Kinshasa),BNB,FZGN,-0.21699999272823334,20.850000381469727,1168,1,U,\N,airport,OurAirports
BNC,0.575,29.4739,500,BNC,11229,Beni Airport,Beni,Congo (Kinshasa),BNC,FZNP,0.575,29.4739,3517,1,U,\N,airport,OurAirports
BND,27.2186,56.3778,501,BND,2134,Bandar Abbas International Airport,Bandar Abbas,Iran,BND,OIKB,27.218299865722656,56.37779998779297,22,3.5,E,Asia/Tehran,airport,OurAirports
BNE,-27.3858,153.1183,502,BNE,3320,Brisbane International Airport,Brisbane,Australia,BNE,YBBN,-27.384199142456055,153.11700439453125,13,10,N,Australia/Brisbane,airport,OurAirports
BNI,6.2331,5.5992,503,BNI,262,Benin Airport,Benin,Nigeria,BNI,DNBE,6.316979885101318,5.5995001792907715,258,1,N,Africa/Lagos,airport,OurAirports
BNJ,50.7319,7.0967,504,BNJ,13183,Bonn-Hangelar Airport,Sankt-Augustin,Germany,BNJ,EDKB,50.7688903809,7.16333293915,197,1,E,\N,airport,OurAirports
BNK,-28.8333,153.5617,505,BNK,4291,Ballina Byron Gateway Airport,Ballina Byron Bay,Australia,BNK,YBNA,-28.8339004517,153.56199646,7,10,O,Australia/Sydney,airport,OurAirports
BNN,65.4611,12.2175,506,BNN,634,Brønnøysund Airport,Bronnoysund,Norway,BNN,ENBN,65.461097717285,12.217499732971,25,1,E,Europe/Oslo,airport,OurAirports
BNO,43.5919,-118.9554,507,BNO,8135,Burns Municipal Airport,Burns,United States,BNO,KBNO,43.5918998718,-118.955001831,4148,-8,A,America/Los_Angeles,airport,OurAirports
BNP,32.9667,70.5333,508,BNP,5938,Bannu Airport,Bannu,Pakistan,BNP,OPBN,32.9729,70.527901,1325,5,N,Asia/Karachi,airport,OurAirports
BNS,8.6167,-70.2167,509,BNS,2822,Barinas Airport,Barinas,Venezuela,BNS,SVBI,8.615,-70.21416667,615,-4,U,America/Caracas,airport,OurAirports
BNX,44.9417,17.3033,510,BNX,5794,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,BNX,LQBK,44.94139862060547,17.297500610351562,400,1,E,Europe/Sarajevo,airport,OurAirports
BNY,-11.3022,159.7981,511,BNY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOA,-5.854,13.0640,512,BOA,5646,Boma Airport,Boma,Congo (Kinshasa),BOA,FZAJ,-5.854000091552734,13.064000129699707,26,1,N,Africa/Kinshasa,airport,OurAirports
BOB,-16.4436,-151.7525,513,BOB,1989,Bora Bora Airport,Bora Bora,French Polynesia,BOB,NTTB,-16.444400787353516,-151.75100708007812,10,-10,U,Pacific/Tahiti,airport,OurAirports
BOC,9.3408,-82.2508,514,BOC,1865,Bocas Del Toro International Airport,Bocas Del Toro,Panama,BOC,MPBO,9.340849876403809,-82.25080108642578,10,-5,U,America/Panama,airport,OurAirports
BOD,44.8286,-0.7153,515,BOD,1264,Bordeaux-Mérignac Airport,Bordeaux,France,BOD,LFBD,44.828300476100004,-0.715556025505,162,1,E,Europe/Paris,airport,OurAirports
BOG,4.7031,-74.1383,516,BOG,2709,El Dorado International Airport,Bogota,Colombia,BOG,SKBO,4.70159,-74.1469,8361,-5,U,America/Bogota,airport,OurAirports
BOH,50.78,-1.8425,517,BOH,494,Bournemouth Airport,Bournemouth,United Kingdom,BOH,EGHH,50.779998779296875,-1.8424999713897705,38,0,E,Europe/London,airport,OurAirports
BOI,43.5644,-116.2228,518,BOI,3495,Boise Air Terminal/Gowen Field,Boise,United States,BOI,KBOI,43.5644,-116.223,2871,-7,A,America/Denver,airport,OurAirports
BOJ,42.5703,27.5153,519,BOJ,1191,Burgas Airport,Bourgas,Bulgaria,BOJ,LBBG,42.56959915161133,27.515199661254883,135,2,E,Europe/Sofia,airport,OurAirports
BOM,19.0908,72.8667,520,BOM,2997,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB,19.0886993408,72.8678970337,39,5.5,N,Asia/Calcutta,airport,OurAirports
BON,12.1311,-68.2769,521,BON,2896,Flamingo International Airport,Kralendijk,Netherlands Antilles,BON,TNCB,12.130999565124512,-68.26850128173828,20,-4,U,America/Curacao,airport,OurAirports
BOO,67.2692,14.3653,522,BOO,635,Bodø Airport,Bodo,Norway,BOO,ENBO,67.26920318603516,14.365300178527832,42,1,E,Europe/Oslo,airport,OurAirports
BOP,5.9667,15.6333,523,BOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOS,42.3643,-71.0052,524,BOS,3448,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,OurAirports
BOT,-7.233,141.0830,525,BOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOU,47.0644,2.3789,526,BOU,1331,Bourges Airport,Bourges,France,BOU,LFLD,47.058101654052734,2.3702800273895264,529,1,E,Europe/Paris,airport,OurAirports
BOX,-16.0753,136.3022,527,BOX,10618,Borroloola Airport,Borroloola,Australia,BOX,YBRL,-16.075300216674805,136.302001953125,55,9.5,O,\N,airport,OurAirports
BOY,11.1675,-4.3211,528,BOY,247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584,1511,0,N,Africa/Ouagadougou,airport,OurAirports
BPE,21.1812,94.9287,529,BPE,4272,Qinhuangdao Beidaihe Airport,Bagan,Burma,BPE,ZBDH,39.666389,119.058889,46,8,U,Asia/Shanghai,airport,OurAirports
BPF,-8.583,158.1170,530,BPF,7620,Batuna Aerodrome,Batuna,Solomon Islands,BPF,AGBT,-8.56202777778,158.119305556,24,11,U,Pacific/Guadalcanal,airport,OurAirports
BPG,-15.8603,-52.3889,531,BPG,2534,Barra do Garças Airport,Barra Do Garcas,Brazil,BPG,SBBW,-15.861300468400001,-52.3889007568,1147,-4,S,America/Campo_Grande,airport,OurAirports
BPH,8.1885,126.3270,532,BPH,11927,Bislig Airport,NA,Philippines,BPH,RPMF,8.19594955444336,126.3219985961914,12,NA,\N,\N,airport,OurAirports
BPI,42.5851,-110.1112,533,BPI,11820,Miley Memorial Field,Big Piney,United States,BPI,KBPI,42.58509827,-110.1110001,6990,NA,\N,\N,airport,OurAirports
BPL,44.9038,82.0708,534,BPL,11498,Alashankou Bole (Bortala) airport,Bole,China,BPL,ZWAX,44.895,82.3,1253,8,N,\N,airport,OurAirports
BPM,34.9463,69.2650,535,BPM,3141,Begumpet Airport,Hyderabad,India,BPM,VOHY,17.4531002045,78.4675979614,1742,5.5,N,Asia/Calcutta,airport,OurAirports
BPN,-1.2672,116.8939,536,BPN,3919,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BPN,WALL,-1.26827001572,116.893997192,12,8,N,Asia/Makassar,airport,OurAirports
BPS,-16.4381,-39.0733,537,BPS,4209,Porto Seguro Airport,Porto Seguro,Brazil,BPS,SBPS,-16.438601,-39.080898,168,-3,S,America/Fortaleza,airport,OurAirports
BPT,29.9508,-94.0207,538,BPT,3612,Southeast Texas Regional Airport,Beaumont,United States,BPT,KBPT,29.9507999420166,-94.02069854736328,15,-6,A,America/Chicago,airport,OurAirports
BPX,30.5536,97.1083,539,BPX,6396,Qamdo Bangda Airport,Bangda,China,BPX,ZUBD,30.553600311279297,97.1082992553711,14219,8,U,Asia/Shanghai,airport,OurAirports
BPY,-16.7419,44.4814,540,BPY,931,Besalampy Airport,Besalampy,Madagascar,BPY,FMNQ,-16.744530296500002,44.4824838638,125,3,U,Indian/Antananarivo,airport,OurAirports
