"","name","Specialty_Code","hivpat","preppat","herpespat","syphpat","gonorpat","centdegree","centtrans","countIDconnections","cbetween","cclose","ceigen","lukeherpcount","lukehivcount","lukeprepcount","binaryPrep","AIDSVuCountyLevelHIVNewDiagnosesCases","ZIP","RuralUrbanFactor","X2013EstimatesMSM5YEAR","EVIDU","MARHOMO","HOMOSEX","plancount","prepcoverage","ruralsuburban"
"49765940","49765940","FP",0,0,2,0,0,2,0,0,0.7463235,3.102112e-09,3.210457e-05,0,0,0,0,1844,90404,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47866910","47866910","FM",0,0,7,0,0,38,0.6600284,1,81155.86,1.631434e-08,0.004596916,7,0,0,0,1844,90670,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49677773","49677773","FP",0,0,21,0,0,34,0.4367201,0,292.9753,1.638734e-08,0.004404351,21,0,0,0,1844,91342,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48135861","48135861","FP",0,0,32,0,0,129,0.5578973,0,38812.13,1.651673e-08,0.01061343,32,0,0,0,1844,90277,1,251521,1.138461538,1.4,2.123076923,247,247,2
"33420979","33420979","IM",0,0,66,0,0,36,0.747619,0,4373.943,1.64057e-08,0.006015879,66,0,0,0,1844,90505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49385516","49385516","FP",0,0,66,0,0,77,0.6237184,0,9805.14,1.636908e-08,0.007782156,66,0,0,0,1844,90505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"20203825","20203825","GYN",0,0,14,0,0,3,0.6666667,0,0.2909091,1.626e-08,0.003751688,14,0,0,0,1844,90403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47609365","47609365","FP",0,0,21,0,0,18,0.1960784,0,215969.3,1.626002e-08,0.00392451,21,0,0,0,1844,90094,1,251521,1.138461538,1.4,2.123076923,247,247,2
"19843437","19843437","FM",0,0,11,0,0,2,0,0,2,3.08578431961722e-09,3.08102369670623e-05,11,0,0,0,1844,90403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47779718","47779718","IM",0,0,1,0,0,18,0.3464052,0,122.4654,3.461843e-09,0.0002435763,1,0,0,0,1844,90048,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47780562","47780562","IM",0,0,3,0,0,6,0.5333333,0,14224.28,1.635074e-08,0.003803466,3,0,0,0,1844,90048,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12143564","12143564","IM",0,0,30,0,0,14,0.32967032967033,0,33.5822024237667,1.62600047606042e-08,0.00393160096593333,30,0,0,0,1844,91101,1,251521,1.138461538,1.4,2.123076923,247,247,2
"19795269","19795269","IM",0,1,29,0,0,13,0.384615384615385,0,20737.9986783741,1.62600018523394e-08,0.00388595131046326,29,0,1,1,1844,91105,1,251521,1.138461538,1.4,2.123076923,247,247,2
"11207838","11207838","IM",0,0,23,0,0,10,0.288888888888889,0,27.4640222356927,1.62600026455024e-08,0.00385355307570537,23,0,0,0,1844,91105,1,251521,1.138461538,1.4,2.123076923,247,247,2
"11313354","11313354","IM",0,1,40,0,0,12,0.46969696969697,0,9.07501118072927,1.62600023811148e-08,0.00389848925539002,40,0,1,1,1844,91105,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47380132","47380132","IM",0,0,34,0,0,32,0.5927419,0,9654.653,1.640568e-08,0.004328375,34,0,0,0,1844,91342,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49580921","49580921","FP",0,0,1,0,0,3,1,0,0,3.140663e-09,7.513843e-05,1,0,0,0,198,91762,1,24060,1.263157895,1.473684211,1.947368421,511,511,2
"10912571","10912571","IM",0,1,9,1,0,6,0.2,0,16.3851043676855,3.09752289081032e-09,9.3879617394766e-05,9,0,1,1,1844,91007,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12197363","12197363","FM",0,1,8,0,0,1,0,0,0,3.05873964149791e-09,1.42833470025564e-05,8,0,1,1,1844,91007,1,251521,1.138461538,1.4,2.123076923,247,247,2
