"","from","to","weight"
"355","10749185","46013732",4
"356","10749185","14809619",3
"357","10749185","46797318",3
"358","10749185","33222806",3
"359","10749185","12131577",6
"360","10749185","46583983",5
"361","10749185","12559004",4
"362","10749185","32293643",6
"363","10749185","39746325",4
"364","10749185","43603650",3
"365","10749185","47848442",3
"366","10749185","12164869",3
"367","10749185","40162509",3
"368","10749185","44768344",3
"369","10749195","10770731",30
"370","10749195","22765557",32
"371","10749195","11324748",4
"372","10749232","24631553",6
"373","10749232","42059505",3
"374","10749249","12093428",17
"375","10749249","14850172",3
"376","10749260","47836924",3
"377","10749299","27422427",3
"378","10749370","12423204",7
"379","10749456","11313215",4
"380","10749456","12144300",5
"381","10749480","10750363",4
"382","10749480","48370764",16
"383","10749480","10889806",3
"384","10749480","48999285",4
"385","10749630","12144300",9
"386","10749719","14811700",31
"387","10749719","10762111",9
"388","10749719","11099369",3
"389","10749719","13036350",11
"390","10749719","31006656",7
"391","10749719","43646586",12
"392","10749719","34482167",4
"393","10749719","42891141",8
"394","10749719","10750367",5
"395","10749739","13037236",4
"396","10749739","37509117",19
"397","10749822","19797901",3
"398","10749822","40159364",4
"399","10749822","46486900",3
"400","10749822","37712694",5
"401","10749836","13037210",21
"402","10749836","27421002",18
"403","10749836","47631909",13
"404","10749836","48753397",19
"405","10749836","23166498",3
"406","10749876","14809223",93
"407","10749876","46009663",5
"408","10749876","14810045",21
"409","10749876","42891141",15
"410","10749876","46163837",16
"411","10749876","10762066",34
"412","10749876","36769468",6
"413","10749876","46205066",38
"414","10749876","10749956",58
"415","10749876","36749099",41
"416","10749876","46441985",16
"417","10749876","11209146",3
"418","10749876","38308709",3
"419","10749876","11139135",11
"420","10749876","14847352",7
"421","10749876","11272674",8
"422","10749876","39667060",11
"423","10749876","48519486",10
"424","10749876","33672277",6
"425","10749876","48802273",3
"426","10749876","23164680",3
"427","10749876","47253610",6
"428","10749876","11163855",9
"429","10749876","48515361",8
"430","10749876","45653970",8
"431","10749876","41711070",6
"432","10749876","23028739",10
"433","10749876","40267578",6
"434","10749876","42832906",6
"435","10749876","22339513",3
"436","10749876","24645193",3
"437","10749876","31258678",3
"438","10749876","48848003",3
"439","10749876","42186109",5
"440","10749876","21009447",4
"441","10749876","38529795",10
"442","10749876","14850251",6
"443","10749876","19591183",3
"444","10749876","42059933",4
"445","10749876","48396644",3
"446","10749907","10750353",3
"447","10749907","31419217",5
"448","10749907","12073490",5
"449","10749907","14686475",3
"450","10749907","40853455",4
"451","10749913","11232479",3
"452","10749913","14633823",5
"453","10749913","46437518",3
"454","10749913","48768826",4
"455","10749913","48908403",3
"456","10749914","46164947",31
"457","10749914","10772012",4
"458","10749914","31032683",4
"459","10749914","43537849",3
"460","10749914","11195879",4
"461","10749914","47654108",3
"462","10749914","37508670",3
"463","10749914","47413250",7
"464","10749914","14840381",4
"465","10749914","39746395",3
"466","10749914","49765940",4
"467","10749948","11127151",4
"468","10749948","25132212",9
"469","10749948","19842297",11
"470","10749956","10870083",5
"471","10749956","14809223",76
"472","10749956","36769468",40
"473","10749956","14810045",102
"474","10749956","11132220",4
"475","10749956","14849591",4
"476","10749956","46441985",74
"477","10749956","10762066",19
"478","10749956","36749099",37
"479","10749956","42891141",37
"480","10749956","32374786",7
"481","10749956","46163837",79
"482","10749956","11347984",4
"483","10749956","14847352",12
"484","10749956","23164680",16
"485","10749956","38308709",5
"486","10749956","42186109",7
"487","10749956","46205066",34
"488","10749956","45653970",21
"489","10749956","11209146",18
"490","10749956","23028739",32
"491","10749956","24645193",18
"492","10749956","21009447",8
"493","10749956","39667060",28
"494","10749956","40853526",6
"495","10749956","24606918",9
"496","10749956","38529795",25
"497","10749956","11154965",11
"498","10749956","11163855",14
"499","10749956","24634753",16
"500","10749956","34325163",4
"501","10749956","41711070",9
"502","10749956","37581390",4
"503","10749956","40810746",5
"504","10749956","33672277",10
"505","10749956","11272674",7
"506","10749956","12068112",13
"507","10749956","40267578",3
"508","10749956","22339513",3
"509","10749956","28294262",3
"510","10749956","48515361",11
"511","10749956","48519486",21
"512","10749956","10750641",15
"513","10749956","14809303",7
"514","10749956","46009663",11
"515","10749956","11105533",4
"516","10749956","12111003",10
"517","10749956","12430949",6
"518","10749956","13036004",3
"519","10749956","47253610",12
"520","10749956","11139135",3
"521","10749956","42832906",13
"522","10749956","11249244",3
"523","10749956","10870017",3
"524","10749956","11006012",8
"525","10749956","14680392",4
"526","10749956","14850251",4
"527","10749956","31258678",3
"528","10749956","47866910",3
"529","10749967","40001536",73
"530","10749967","12388353",3
"531","10749967","49677773",49
"532","10749967","46006792",85
"533","10749967","44101799",62
"534","10749967","10987367",9
"535","10749967","18905371",4
"536","10749967","42360417",5
"537","10749967","42072460",7
"538","10749967","44311820",3
"539","10749967","19833468",3
"540","10749967","43543539",3
"541","10749967","10906559",3
"542","10749967","47523120",3
"543","10749967","10823135",3
"544","10750022","19131818",3
"545","10750022","42059084",4
"546","10750022","10809947",3
"547","10750046","12197985",19
"548","10750046","12536989",6
"549","10750046","47039951",12
"550","10750046","10885586",12
"551","10750046","19595528",10
"552","10750046","42059920",11
"553","10750046","12430189",12
"554","10750046","33077065",6
"555","10750046","12073216",3
"556","10750046","10906573",5
"557","10750046","25192838",6
"558","10750046","48415195",3
"559","10750046","12164855",4
"560","10750046","14849695",3
"561","10750046","48135861",3
"562","10750046","39780083",3
"563","10750112","10987145",22
"564","10750112","11144753",41
"565","10750112","10764855",97
"566","10750112","12286965",3
"567","10750112","13036251",21
"568","10750112","44105027",3
"569","10750112","11317304",3
"570","10750112","11127151",5
"571","10750112","26053983",3
"572","10750112","11273328",7
"573","10750112","12236906",30
"574","10750112","47777923",3
"575","10750112","10848742",4
"576","10750112","10916000",3
"577","10750112","19595528",3
"578","10750112","11150500",5
"579","10750112","11112775",3
"580","10750112","10759241",3
"581","10750112","11208898",3
"582","10750112","25882259",4
"583","10750112","33420979",3
"584","10750112","10762094",3
"585","10750113","10764855",3
"586","10750153","49385516",69
"587","10750153","10779945",21
"588","10750153","48397483",24
"589","10750153","10807197",29
"590","10750153","43143572",3
"591","10750153","47593284",7
"592","10750153","10848742",3
"593","10750261","10764117",7
"594","10750261","10913748",4
"595","10750261","10973980",3
"596","10750261","14849631",3
"597","10750308","47593454",3
"598","10750352","20203825",27
"599","10750352","47609365",3
"600","10750352","11082979",3
"601","10750352","19843437",4
"602","10750353","12073490",17
"603","10750353","40853455",17
"604","10750353","42059990",18
"605","10750353","43603732",25
"606","10750353","14686475",20
"607","10750353","31419217",32
"608","10750362","47779718",3
"609","10750362","47780562",4
"610","10750362","46973295",4
"611","10750363","24631553",3
"612","10750363","12143564",5
"613","10750363","10851552",3
"614","10750363","10750743",5
"615","10750363","19795269",3
"616","10750363","11207838",5
"617","10750363","10765074",4
"618","10750363","11313354",3
"619","10750367","13036350",22
"620","10750367","10762111",11
"621","10750367","14811700",29
"622","10750367","43646586",18
"623","10750367","31006656",18
"624","10750367","11099369",20
"625","10750367","42891141",12
"626","10750367","34482167",4
"627","10750367","46009663",3
"628","10750463","11029768",31
"629","10750463","47523118",61
"630","10750463","11150500",28
"631","10750463","43517086",21
"632","10750463","40163311",18
"633","10750463","34325923",44
"634","10750463","45329615",21
"635","10750463","10764874",31
"636","10750463","46023858",11
"637","10750463","47696554",10
"638","10750463","21163158",7
"639","10750463","49311008",7
"640","10750463","47777923",4
"641","10750463","10822575",7
"642","10750493","45056699",14
"643","10750493","44026103",4
"644","10750493","47380132",14
"645","10750493","19798900",4
"646","10750493","42833781",6
"647","10750493","19830816",6
"648","10750493","42243829",5
"649","10750493","12165310",3
"650","10750556","48302873",3
"651","10750556","49119693",3
"652","10750563","48690296",119
"653","10750563","11062247",12
"654","10750563","14827289",5
"655","10750563","49580921",4
"656","10750563","36879926",4
"657","10750563","40163311",3
"658","10750591","45923366",4
"659","10750591","11044436",3
"660","10750591","36879950",3
"661","10750591","13035971",4
"662","10750591","12167650",3
"663","10750591","12244038",4
"664","10750591","13036390",5
"665","10750591","11066972",5
"666","10750591","10776089",3
"667","10750591","13035966",4
"668","10750591","14809167",6
"669","10750591","43705878",4
"670","10750591","45928500",3
"671","10750591","12073090",14
"672","10750591","11080173",4
"673","10750591","14850088",4
"674","10750591","14685946",4
"675","10750591","44682137",3
"676","10750591","42905350",3
"677","10750600","10912571",3
"678","10750600","12197363",3
"679","10750608","11335450",6
"680","10750608","27584456",3
"681","10750608","10760145",4
"682","10750608","22333554",8
"683","10750608","14808947",6
"684","10750608","14809825",3
"685","10750608","14808400",3
"686","10750619","47981511",3
"687","10750619","49596358",6
"688","10750619","48173420",5
"689","10750619","42932461",3
"690","10750621","48370764",8
"691","10750641","14809303",76
"692","10750641","19591183",4
"693","10750641","12068112",13
"694","10750641","14810045",12
"695","10750641","24645193",20
"696","10750641","39667060",3
"697","10750641","21009447",3
"698","10750641","14809223",8
"699","10750641","42891141",6
"700","10750641","46441985",12
"701","10750641","37581390",3
"702","10750641","36769468",6
"703","10750641","42857221",4
"704","10750641","46163837",5
"705","10750641","45653970",3
"706","10750672","35083026",97
"707","10750672","10765272",5
"708","10750672","11199038",3
"709","10750679","11326942",3
"710","10750679","46583983",3
"711","10750679","49577435",3
"712","10750679","47683748",5
"713","10750679","47787757",3
"714","10750679","43365137",3
"715","10750724","34325546",3
"716","10750724","10888868",4
"717","10750743","24631553",28
"718","10750743","14685050",44
"719","10750743","10997650",6
"720","10750743","10851552",4
"721","10750743","48999285",3
"722","10750744","11028409",15
"723","10750744","14809803",4
"724","10750744","40150331",43
"725","10750744","46486900",19
"726","10750744","13035903",11
"727","10750744","37712694",3
"728","10750744","14686520",4
"729","10750744","39745742",6
"730","10750744","11327048",8
"731","10750744","11344712",23
"732","10750744","44311820",7
"733","10750744","11080233",10
"734","10750744","20256584",10
"735","10750744","48535935",16
"736","10750744","12164584",3
"737","10750744","11325371",18
"738","10750744","11231602",7
"739","10750744","45926370",3
"740","10750744","47380668",5
"741","10750744","27604952",3
"742","10750744","22349511",8
"743","10750744","47832735",7
"744","10750744","10878544",7
"745","10750744","33545117",7
"746","10750744","37519365",3
"747","10750744","48886050",3
"748","10750785","48020557",3
"749","10750785","48676727",3
"750","10750785","40998166",6
"751","10750785","11334950",3
"752","10750785","29222652",4
"753","10750785","22470966",3
"754","10750785","33585172",8
"755","10750785","60228342",6
"756","10750785","47787729",4
"757","10750785","47778812",7
"758","10750785","43516004",4
"759","10750785","48908350",3
