BvD,name,ISO,NACE,revenue,employees,city,ROE,ind.NAICS,logrev
CN45401PC,CHONGQING ZIXIANG BIOLOGICAL PHARMACEUTIAL COMPANY LIMITED,CN,2120,13067.69703,143,CHONGQING,40.657,21,4.116199057
CN43198PC,GUANGDONG HOLDINGS COMPANY LIMITED,CN,2453,13059.7699,362,ZHUHAI,8.96,24,4.115935525
CN42148PC,WUHAN POINTROLE TECHNOLOGY COMPANY LIMITED,CN,2059,13058.39404,106,WUHAN,NA,20,4.115889769
CN47286PC,HANGZHOU DERUNBAO GREASE COMPANY LIMITED,CN,2059,13047.37357,100,HANGZHOU,1,20,4.115523097
CN52866PC,ZHEJIANG TELOON TENNIS BALL COMPANY LIMITED,CN,4690,13045.79922,266,WENZHOU,22.229,46,4.11547069
CN45588PC,SUN CREATIVE TECHNOLOGIES INC.,CN,6209,13040.27472,127,HANGZHOU,12.477,62,4.115286741
CN43022PC,HUNAN GOODNIGHT HOME TEXTILE COMPANY LIMITED,CN,1330,13039.9591,217,CHANGSHA,14.256,13,4.115276229
CN49508PC,SHENZHEN FEIYANG PROTECH CORPORATION LIMITED,CN,2059,13038.23182,NA,SHENZHEN,11.829,20,4.115218698
CN47353PC,JIANGSU NANCI INSULATORS COMPANY LIMITED,CN,2399,13035.78061,150,JURONG,14.693,23,4.115137043
CN50414PC,SCHOOLPAL ONLINE (HANGZHOU) TECHNOLOGY COMPANY LIMITED,CN,6209,13029.62245,678,HANGZHOU,-62.751,62,4.114931832
CN9367176296,"JIANGSU TAILIDA NEW MATERIALS CO., LTD.",CN,1089,13027.21262,NA,NANTONG,-6.938,10,4.114851501
CN51846PC,YANTAI SHIDE EQUIPMENT COMPANY LIMITED,CN,2550,13027.19324,195,YANTAI,8.44,25,4.114850855
CN44792PC,BEIJING MARCOMZ MOTOR SPORTS COMPANY LIMITED,CN,7490,13017.17463,57,BEIJING,1.565,74,4.114516731
CN40955PC,BEIJING BEI HUA XIN XIANG POLYMER TECHNOLOGY COMPANY LIMITED,CN,2219,13016.74526,174,BEIJING,1.017,22,4.114502406
CN46787PC,BEIJING ENRUIDA TECHNOLOGY COMPANY  LIMITED,CN,4671,13016.17277,219,BEIJING,0.677,46,4.114483305
CN44961PC,JIANGSU HAIHONG POWER ENGINEERING CONSULTING CORPORATION  LIMITED,CN,3511,13012.69555,144,WUXI,35.875,35,4.114367269
CN48212PC,YIDU HUAXUN INTELLIGENT CONVEYER COMPANY LIMITED,CN,4690,13010.87722,181,QINGZHOU,12.688,46,4.114306579
CN44707PC,SHANGHAI XINJIU ENVIRONMENTAL PROTECTION TECHNOLOGY COMPANY LIMITED,CN,2829,13010.62683,110,SHANGHAI,14.133,28,4.114298221
CN47938PC,AOJITE BIOTECHNOLOGY CORPORATION LIMITED,CN,113,13010.16161,336,KAIFENG,-7.673,1,4.114282691
CN51038PC,LESTER (XIAMEN) CORPORATION LIMITED,CN,2512,13005.98316,118,XIAMEN,4.56,25,4.114143188
CN43643PC,LIAONING HUALONG ELECTRIC POWER TECHNOLOGY COMPANY LIMITED,CN,2790,13001.41251,213,DANDONG,1.075,27,4.113990538
CN41983PC,HANGZHOU GAEA ELECTRIC COMPANY LIMITED,CN,2651,12996.85117,250,HANGZHOU,2.864,26,4.113838146
CN9367157310,SU ZHOU JIE SAI JI XIE GU FEN YOU XIAN GONG SI,CN,NA,12995.88391,129,SUZHOU,-27.172,NA,4.113805823
CN50807PC,XINMEN JETMOLD & PLASTIC COMPANY LIMITED,CN,2829,12995.70619,191,XIAMEN,38.263,28,4.113799884
CN49300PC,POWER SMART CONSTRUCTION COMPANY LIMITED,CN,7111,12989.12253,50,SHANGHAI,-0.318,71,4.113579814
CN46277PC,YUHUAN CNC MACHINE TOOL COMPANY LIMITED,CN,2849,12988.40692,307,CHANGSHA,0.716,28,4.113555886
CN43538PC,"SHENZHEN CGX OPTOELECTRONIC TECHNOLOGY, INC.",CN,4652,12985.68758,215,SHENZHEN,3.79,46,4.11346495
CN48312PC,XI'AN XIRUI CONTROL TECHNOLOGY COMPANY LIMITED,CN,2790,12984.25635,214,XI’AN,10.703,27,4.113417081
CN45809PC,SHENZHEN EPS TECHNOLOGY COMPANY LIMITED,CN,6201,12984.21243,56,SHENZHEN,16.864,62,4.113415612
CN52880PC,HANGZHOU THE FIRST OUTDOOR PRODUCTS DESIGN CORPORATION LIMITED,CN,1419,12981.32243,120,HANGZHOU,-13.344,14,4.113318937
CN52507PC,SUZHOU INTELLIGENT TRANSPORTATION INFORMATION TECHNOLOGY COMPANY LIMITED,CN,6209,12980.10579,110,SUZHOU,6.989,62,4.113278232
CN51627PC,DONGGUAN ZHAOFENG ENVIRONMENTAL COMPANY LIMITED,CN,2651,12973.37901,33,DONGGUAN,6.435,26,4.113053106
CN46916PC,HUNAN IDEA KNACK CULTURAL COMMUNICATION COMPANY LIMITED.,CN,7490,12970.8028,418,CHANGSHA,31.087,74,4.112966857
CN9398923197,"CHONGQING SHANWAISHAN BLOOD PURIFICATION TECHNOLOGY CO., LTD.",CN,3250,12966.39807,NA,CHONGQING,-5.99,32,4.11281935
CN51242PC,ZHEJIANG HIMPTON NEW MATERIAL COMPANY LIMITED,CN,4675,12956.91987,48,HANGZHOU,8.066,46,4.112501773
CN41608PC,HUNAN SIDA INTELLIGENT EQUIPMENT COMPANY LIMITED,CN,2822,12955.03374,249,CHANGSHA,0.734,28,4.112438548
CN52918PC,BEIJING MIAOYIN ANIMATION CULTUR COMPANY LIMITED,CN,9329,12950.47934,42,BEIJING,47.668,93,4.112285843
CN51827PC,"HUIZHOU HUAHONG NEW MATERIAL CO., LTD.",CN,2059,12943.75256,48,HUIZHOU,19.496,20,4.112060202
CN47336PC,BEIJING MAG SCIENCE & TECHNOLOGY COMPANY LIMITED,CN,7490,12943.32319,236,BEIJING,-13.509,74,4.112045796
CN52270PC,BEIJING BANGYUAN ENVIRONMENT SCIENCE AND TECHNOLGY LIMITED  COMPANY LIMITED,CN,3811,12934.87894,68,BEIJING,52.015,38,4.111762368
CN42909PC,JIANGSU MAGNET VALLEY TECHNOLOGIES COMPANY LIMITED,CN,2829,12933.6061,226,ZHENJIANG,2.54,28,4.11171963
CN50748PC,TECHWIN PRECISE PARTS COMPANY LIMITED,CN,2229,12921.13914,440,HUIZHOU,-4.923,22,4.111300803
CN51104PC,WUHAN ZHUOCHENG ENERGY-SAVING TECH COMPANY LIMITED,CN,7111,12919.74356,56,WUHAN,9.447,71,4.111253894
CN52996PC,GUANGDONG GRAND SKY ADVANCED MATERIALS COMPANY LIMITED,CN,2229,12918.84917,105,FOSHAN,17.94,22,4.111223828
CN40991PC,SHANGHAI TOPLITE TECHNOLOGY COMPANY LIMITED,CN,2790,12916.27296,101,SHANGHAI,0.614,27,4.111137214
CN43736PC,SUZHOU GUTAI MATERIAL TECHNOLOG COMPANY LIMITED,CN,2229,12906.5406,33,SUZHOU,23.279,22,4.110809852
CN47852PC,"QINGDAO NOVELBEAM TECHNOLOGY CO., LTD.",CN,3250,12904.71364,217,QINGDAO,34.263,32,4.110748372
CN41542PC,ZHEJIANG KANGLAIBAO SPORTING GOODS INC.,CN,4690,12895.52013,200,TAIZHOU,11.689,46,4.110438864
CN48082PC,QINGDAO HARRENS INSPECTION TESTING COMPANY LIMITED,CN,7490,12893.33177,311,QINGDAO,13.024,74,4.110365158
CN52406PC,GANSU SANBAO AGRICULTURAL SCIENCE AND TECHNOLOGY COMPANY LIMITED,CN,161,12888.66228,55,LANZHOU,4.269,1,4.110207844
CN48981PC,GUANGDONG MEIJIAXIN INNOVATIVE TECHNOLOGY COMPANY LIMITED,CN,3240,12881.22028,227,SHANTOU,0.28,32,4.109957007
CN50595PC,GUANGZHOU CHINAGDN SECURITY TECHNOLOGY COMPANY LIMITED,CN,8020,12873.48696,264,GUANGZHOU,15.383,80,4.109696197
CN47608PC,BEIJING FEELFINE CULTURE MEDIA COMPANY LIMITED,CN,7311,12869.04239,293,BEIJING,-34.029,73,4.109546231
CN9366710200,"GUANGDONG SOUTH BRIGHT GLASS TECHNOLOGY CO., LTD.",CN,2319,12867.49765,NA,NA,-42.817,23,4.109494098
CN9367132027,"SHENZHEN CONNECT-ME ELECTRONIC CO., LTD.",CN,2620,12865.50121,90,SHENZHEN,9.832,26,4.10942671
CN52616PC,HUNAN JINYI ENVIRONMENTAL PROTECTION COMPANY LIMITED,CN,8299,12860.59813,94,NA,21.761,82,4.109261168
CN44721PC,SHANGHAI BODAN ENVIRONMENTAL ENGINEERING TECHNOLOGY COMPANY LIMITED,CN,3700,12857.59255,68,SHANGHAI,50.559,37,4.109159659
CN49427PC,JIANGSU HIGHWAY CLOUD LOGISTICS COMPANY LIMITED,CN,5229,12853.29886,41,NANJING,-3.709,52,4.109014606
CN43862PC,GUANGDONG SHANZHANG INDUSTRY COMPANY LIMITED,CN,2899,12852.44012,131,SHANTOU,4.179,28,4.108985589
CN51522PC,ZHEJIANG ZHOU FUSHENG JEWELRY CORPORATION LIMITED,CN,4648,12843.86438,37,QUZHOU,-16.69,46,4.108695711
CN52203PC,HEBEI WOTU SEED INDUSTRY COMPANY LIMITED,CN,116,12841.67556,49,HANDAN,17.408,1,4.108621693
CN51932PC,HEFEI ANGELON ELECTRONICS COMPANY LIMITED,CN,2712,12837.55534,198,HEFEI,23.891,27,4.108482329
CN50515PC,FUJIAN KEYUAN NEW MATERIALSCOMPANY LIMITED,CN,2442,12826.96424,41,SANMING,2.769,24,4.108123884
CN50281PC,TIANJIN YINGXUNTONG TECHNOLOGY COMPANY LIMITED,CN,4651,12824.96052,63,TIANJIN,13.617,46,4.108056037
CN51138PC,NANTONG TONGYI AEROSPACE SCIENCE AND TECHNOLOGY COMPANY LIMITED,CN,2219,12823.38617,112,NA,35.007,22,4.108002721
CN45575PC,CAIZ OPTRONICS CORPORATION,CN,2790,12820.51694,235,SHENZHEN,-16.084,27,4.107905537
CN46171PC,SHANDONG DEYOU ELECTRIC COMPANY LIMITED,CN,2790,12818.51999,136,ZIBO,-5.746,27,4.107837885
CN45054PC,WUHAN EASY-SIGHT TECHNOLOGY COMPANY LIMITED,CN,7739,12806.50848,171,WUHAN,28.2,77,4.107430741
CN48172PC,ZJEJIANG SHUANGNIAO ANCHOR CHAIN COMPANY LIMITED,CN,3012,12805.77887,113,SHANHU,9.821,30,4.107405998
CN44739PC,BEIJING BLUESTRATEGY INTEGRATED MARKETING CONSULTANT COMPANY LIMITED,CN,7022,12804.78019,73,BEIJING,-10.087,70,4.107372128
CN50719PC,LIAONING WORLDING CULTURAL DEVELOPMENT COMPANY LIMITED,CN,5911,12798.05341,140,SHENYANG,13.498,59,4.107143918
CN42403PC,"BOGUANG ENVIRONMENTAL TECHNOLOGY CO., LTD.",CN,4299,12790.47528,NA,SHIJIAZHUANG,8.096,42,4.106886683
CN51379PC,JIANGSU LANQUAN NEW MATERIAL INC. LIMITED,CN,899,12786.46045,109,ZHENJIANG,11.551,8,4.10675034
CN43674PC,FUCLEAR TECHNOLOGY SUZHOU COMPANY LIMITED,CN,4675,12785.17234,93,SUZHOU,7.975,46,4.106706587
CN43375PC,HEBEI CREATE INSTRUMENTATION TECHNOLOGIES COMPANY LIMITED,CN,2651,12780.59241,134,SHIJIAZHUANG,28.779,26,4.106550985
CN46831PC,ZHUHAI VALWELL ELECTRIC TECHNOLOGY COMPANY LIMITED,CN,3299,12780.09668,190,NA,21.59,32,4.106534139
CN43263PC,JIANGSU ROAD DAMPING TECHNOLOGY COMPANY LIMITED,CN,4690,12778.19971,94,CHANGZHOU,41.43,46,4.106469671
CN41365PC,"GUANGZHOU GOLCOM ENERGY CONSERVATION TECHNOLOGY CO., LTD.",CN,8299,12774.43812,34,GUANGZHOU,1.171,82,4.106341807
CN53148PC,HEBEI GUOYUAN ELECTRI COMPANY LIMITED,CN,2811,12768.42296,379,SHIJIAZHUANG,13.92,28,4.106137261
CN48117PC,WUHAN HEYUAN GREEN ORGANISM COMPANY LIMITED,CN,2059,12766.81783,97,NA,3.545,20,4.106082661
CN51112PC,GDONG KEJIA LANDSCAPE COMPANY LIMITED,CN,161,12762.12955,91,NA,4.657,1,4.105923149
CN43275PC,LIAONING SHINSUN  PHARMACEUTICAL COMPANY LIMITED,CN,2110,12760.98457,126,TIELING,23.484,21,4.105884183
CN48951PC,LEAGSOFT TECHNOLOGIES INC.,CN,6201,12756.15789,274,SHENZHEN,23.205,62,4.105719886
CN50972PC,SHENYANG TELECOM PLANNING AND DESIGN INSTITUTE CORPORATION,CN,6209,12752.82656,183,SHENYANG,2.668,62,4.105606453
CN48515PC,MOXIU TECHNOLOGY (BEIJING) COMPANY LIMITED,CN,4651,12750.01501,128,BEIJING,24.728,46,4.105510696
CN51541PC,FUJIAN BELFONE COMMUNICATIONS TECHNOLOGY COMPANY LIMITED,CN,2630,12745.52729,314,QUANZHOU,11.146,26,4.105357807
CN46594PC,"JIANGXI RUOBANG SCIENCE & TECHNOLOGY CO., LTD.",CN,2611,12745.38416,100,YINGTAN,NA,26,4.10535293
CN9371188229,"ANHUI ZIJINGHUA BIZHI CO., LTD.",CN,1729,12738.80424,NA,HUANGSHAN,-16.013,17,4.105128664
CN45278PC,"NANTONG DONG HUI TONG CONSTRUCTION ENGINEERING CO., LTD.",CN,4299,12735.47676,NA,NANTONG,26.54,42,4.105015208
CN41197PC,GUANGDONG JIADA EARLY EDUCATION TECHNOLOGY COMPANY LIMITED,CN,7490,12735.18724,278,SHANTOU,-57.969,74,4.105005335
CN45016PC,HULUN BUIR AGRICULTURAL RECLAMATION POTATO INDUSTRY (GROUP) COMPANY LIMITED,CN,4634,12727.78004,21,NA,-1.909,46,4.104752661
CN48028PC,CREATE SOFTWARE GROUP COMPANY LIMITED,CN,4651,12725.6332,256,ZHANGYE,10.813,46,4.104679401
CN42737PC,CHONGQING DAMEI THREE GORGES CRUISES COMPANY LIMITED,CN,5020,12722.62762,351,CHONGQING,9.893,50,4.104576816
CN43684PC,"JIANGSU KANGWO POWER TECHNOLOGY CO., LTD.",CN,2711,12720.62339,136,SUZHOU,8.145,27,4.104508395
CN43510PC,SHANGHAI HUIWEN BIOTECH CORP LIMITED,CN,2059,12718.7633,159,SHANGHAI,4.94,20,4.104444885
CN49773PC,HENAN GREEN AGRICULTURE AND LIVESTOCK COMPANY LIMITED,CN,142,12718.66373,51,JIAOZUO,14.601,1,4.104441485
CN48092PC,BEIJING HUAHAI ZHONGYI ENERGY-SAVING TECHNOLOGY JOINT STOCK LIMITED COMPANY,CN,2892,12717.45773,148,BEIJING,4.1,28,4.104400303
CN49541PC,ANHUI JINDING PHARMACEUTICAL COMPANY LIMITED,CN,2110,12717.18895,102,NA,NA,21,4.104391124
CN9367157329,"HANGZHOU CHINGAN TECH CO., LTD.",CN,2611,12716.99701,NA,HANGZHOU,40.883,26,4.104384569
CN49713PC,HUAISHANTANG BIOTECHNOLOGY COMPANY LIMITED,CN,4729,12713.03838,130,JIAOZUO,-0.337,47,4.104249358
CN48308PC,SHENZHEN KINGSHIP COMPANY LIMITED,CN,1091,12712.82687,25,SHENZHEN,3.599,10,4.104242133
CN44799PC,"ZHUHAI GECEN TECHNOLOGY COMPANY, LIMITED",CN,6209,12710.34621,240,ZHUHAI,4.065,62,4.10415738
CN48736PC,SUZHOU BAO QIANG PRECISION MANUFACTURING COMPANY LIMITED,CN,2599,12704.07158,200,SUZHOU,2.388,25,4.103942932
CN43636PC,XIAMEN GACHN TECHNOLOGY COMPANY LIMITED,CN,2899,12701.58854,125,XIAMEN,16.574,28,4.10385804
